E	A
1	-6.78
2	-6.81
3	-7.53
4	-7.14
5	-7.91
6	-7.82
7	-7.79
8	-9.16
9	-8.7
10	-9.95
11	-12.06
12	-11.44
13	-14.53
14	-23.15
15	-31.18
16	-40.77
17	-47.11
18	-39.52
19	-35.07
20	-29.66
21	-23.19
22	-22.1
23	-21.5
24	-21.06
25	-19.12
26	-19.8
27	-18.77
28	-16.49
29	-16.78
30	-15.86
31	-15.36
32	-14.39
33	-13.64
34	-13.0
35	-12.15
36	-11.81
37	-11.56
38	-11.28
39	-11.0
40	-10.77
41	-10.5
42	-10.41
43	-10.28
44	-10.11
45	-10.02
46	-10.12
47	-9.93
48	-9.98
49	-9.94
50	-9.94
51	-9.91
52	-10.06
53	-10.02
54	-10.05
55	-10.03
56	-9.88
57	-9.83
58	-9.66
59	-9.95
60	-9.75
61	-10.03
62	-9.86
63	-10.09
64	-9.95
65	-9.74
66	-9.76
67	-9.72
68	-9.93
69	-9.94
70	-9.87
71	-9.88
72	-9.87
73	-9.88
74	-9.97
75	-9.93
76	-9.69
77	-9.83
78	-9.77
79	-9.86
80	-9.99
81	-10.03
82	-10.22
83	-9.53
84	-9.7
85	-9.7
86	-10.07
87	-9.9
88	-9.8
89	-9.74
90	-9.75
91	-9.9
92	-9.9
93	-9.77
94	-9.56
95	-9.89
96	-9.87
97	-9.81
98	-9.74
99	-9.84
100	-9.82
101	-9.78
102	-9.56
103	-9.79
104	-9.91
105	-9.81
106	-9.84
107	-9.75
108	-9.64
109	-9.86
110	-9.95
111	-9.61
112	-9.79
113	-9.74
114	-9.88
115	-9.71
116	-9.69
117	-9.65
118	-9.82
119	-9.79
120	-9.79
121	-9.79
122	-9.84
123	-9.7
124	-9.78
125	-9.84
126	-9.83
127	-9.79
128	-9.84
129	-9.67
130	-9.53
131	-9.66
132	-9.86
133	-9.66
134	-9.64
135	-9.75
136	-9.57
137	-9.8
138	-9.76
139	-10.02
140	-9.56
141	-9.91
142	-9.87
143	-9.79
144	-9.98
145	-9.87
146	-9.57
147	-9.74
148	-9.69
149	-9.79
150	-9.88
151	-9.87
152	-9.8
153	-9.62
154	-9.62
155	-9.91
156	-9.65
157	-9.76
158	-9.74
159	-9.86
160	-9.55
161	-9.58
162	-9.57
163	-9.72
164	-9.75
165	-9.6
166	-9.63
167	-9.7
168	-9.77
169	-9.77
170	-9.89
171	-9.76
172	-9.98
173	-9.7
174	-9.87
175	-9.8
176	-9.95
177	-9.6
178	-9.72
179	-9.67
180	-9.72
181	-9.83
182	-9.76
183	-9.8
184	-9.71
185	-9.84
186	-9.86
187	-9.82
188	-9.72
189	-9.56
190	-9.71
191	-9.81
192	-9.82
193	-9.78
194	-9.7
195	-9.77
196	-9.66
197	-9.79
198	-9.86
199	-9.64
200	-10.0
201	-9.65
202	-9.73
203	-9.86
204	-9.9
205	-9.64
206	-9.67
207	-9.62
208	-9.81
209	-9.75
210	-10.0
211	-9.97
212	-9.8
213	-9.73
214	-9.63
215	-9.81
216	-9.83
217	-9.55
218	-9.87
219	-9.69
220	-9.58
221	-9.66
222	-9.8
223	-9.82
224	-9.55
225	-9.71
226	-9.77
227	-9.95
228	-9.91
229	-9.73
230	-9.6
231	-9.73
232	-9.78
233	-9.79
234	-9.75
235	-9.9
236	-9.83
237	-9.72
238	-9.89
239	-9.99
240	-9.78
241	-9.65
242	-9.9
243	-9.85
244	-9.77
245	-9.67
246	-9.79
247	-9.66
248	-9.64
249	-9.69
250	-9.75
251	-9.96
252	-9.73
253	-9.82
254	-9.7
255	-9.88
256	-9.8
257	-9.7
258	-9.77
259	-9.89
260	-9.92
261	-9.77
262	-9.89
263	-9.71
264	-9.63
265	-9.68
266	-9.99
267	-9.63
268	-9.82
269	-9.84
270	-9.74
271	-9.78
272	-9.62
273	-9.87
274	-9.65
275	-9.72
276	-9.79
277	-9.76
278	-9.88
279	-9.75
280	-10.11
281	-9.54
282	-9.65
283	-9.7
284	-9.9
285	-9.69
286	-9.7
287	-9.7
288	-9.68
289	-9.83
290	-9.7
291	-9.65
292	-10.06
293	-9.94
294	-9.73
295	-9.67
296	-9.63
297	-9.66
298	-9.81
299	-9.66
300	-9.8
301	-9.83
302	-9.68
303	-9.86
304	-9.88
305	-9.6
306	-9.71
307	-9.81
308	-9.93
309	-9.85
310	-9.62
311	-9.86
312	-9.81
313	-9.82
314	-9.64
315	-9.83
316	-9.81
317	-9.6
318	-9.77
319	-9.76
320	-9.83
321	-9.94
322	-9.68
323	-9.92
324	-9.27
325	-9.87
