E	V
1	-8.88513657514186
2	-9.373961778186251
3	-10.820759790686644
4	-9.498050041877821
5	-11.890188437750153
6	-11.336759872382531
7	-11.362939965910426
8	-14.589033063078546
9	-12.97668095606862
10	-16.3817571471566
11	-19.87641861724409
12	-19.116353300884477
13	-27.34050740603197
14	-40.906900067297784
15	-51.91951783431814
16	-65.68780688583969
17	-71.0001213893944
18	-61.89922250660197
19	-53.28881170658504
20	-42.58147050455172
21	-35.10863666700181
22	-31.205492847726585
23	-28.900675644831356
24	-26.819895832391413
25	-25.6793902155612
26	-24.404345773288536
27	-22.634854460390454
28	-19.7411382622091
29	-20.29732853171267
30	-19.72528136103958
31	-17.737057003944162
32	-17.232164667995153
33	-15.90503863101714
34	-14.933907960581372
35	-14.03878267675241
36	-13.451310452047387
37	-13.078683640525572
38	-12.694779134706192
39	-12.28062484748657
40	-12.103079142436787
41	-11.69582607431014
42	-11.65173266043863
43	-11.505397894563231
44	-11.108949448170426
45	-11.096847250077744
46	-11.142545842493137
47	-10.981237366154762
48	-10.96974744253269
49	-10.786404158779952
50	-10.762435407798083
51	-10.723572369245662
52	-10.845111457055621
53	-10.86829240241794
54	-10.87915619758885
55	-10.895505632563994
56	-10.852419662491458
57	-10.860097082803364
58	-10.487284715197857
59	-10.953742994994236
60	-10.857925990308017
61	-11.014428768372806
62	-10.982675376054894
63	-11.417365812427004
64	-10.953742994994236
65	-10.765865488258573
66	-10.79072789813801
67	-10.648224110869783
68	-10.838350152749477
69	-10.88678403028357
70	-10.653007024234137
71	-10.632063827078527
72	-10.627033684851606
73	-10.743481325796918
74	-10.835505632563995
75	-10.781528038293514
76	-10.581010662113535
77	-10.800103087305674
78	-10.826929515152264
79	-11.026361864945866
80	-11.266675369857193
81	-11.298503054785442
82	-11.551014650557988
83	-10.53453969558201
84	-10.826942766958464
85	-10.992284798332008
86	-11.263775523287356
87	-11.252774925846868
88	-11.056980508997654
89	-10.911494771648599
90	-10.857925990308017
91	-11.061895003862226
92	-11.0
93	-10.817425415005765
94	-10.532830920561226
95	-11.002609545168475
96	-10.943824939177704
97	-10.846291464791639
98	-10.841090368680064
99	-11.078709005376162
100	-10.945877435603006
101	-10.713595201358704
102	-10.592666451474047
103	-10.984110547646237
104	-11.01539585669569
105	-10.964945886178224
106	-11.102695529413168
107	-10.90217186218029
108	-10.740181803158006
109	-11.034904251417961
110	-11.14478031453485
111	-10.766676272774712
112	-11.000743573181373
113	-10.894296322440645
114	-11.004988888834019
115	-10.752065257073664
116	-10.791771301132862
117	-10.766915395184434
118	-10.823792807306369
119	-10.932759817284454
120	-10.762573904646839
121	-10.73122260916321
122	-10.775093578204876
123	-10.566025403784439
124	-10.755499871860575
125	-10.806643677887566
126	-10.869759587597056
127	-10.720537479094743
128	-10.951035552986491
129	-10.75678424721745
130	-10.601960820179542
131	-10.748301428833024
132	-10.879999999999999
133	-10.802103322821539
134	-10.844325537385968
135	-10.961404143958571
136	-10.71240973385209
137	-11.072792206135786
138	-10.993855745214974
139	-11.203046913693619
140	-10.737454882362803
141	-11.068404074578469
142	-11.050296572900217
143	-10.915122215583711
144	-11.128738438461951
145	-10.962291169972548
146	-10.61168133323008
147	-10.911494771648599
148	-10.844945886178222
149	-10.878990358084037
150	-10.977998178504865
151	-11.015905755287056
152	-10.839230484541327
153	-10.740535586226514
154	-10.73157545852722
155	-11.094018580935282
156	-10.844780314534852
157	-10.780979921448017
158	-10.885600279329575
159	-10.99154761278525
160	-10.4705976319761
161	-10.649392350823588
162	-10.68584049039278
163	-10.843209686567919
164	-10.783198915988592
165	-10.538083151964685
166	-10.801793497165777
167	-10.694987437106619
168	-10.891204709230209
169	-10.798153685010174
170	-10.848070978581442
171	-10.66686272390037
172	-10.959591751700676
173	-10.554400374531753
174	-10.856458311334036
175	-10.789949493661167
176	-10.943730345717588
177	-10.619803902718557
178	-10.740588065773846
179	-10.576145683651365
180	-10.720799680255745
181	-10.944046677657628
182	-10.874629983447422
183	-10.948912529307606
184	-10.761617801294749
185	-10.97771701226623
186	-11.034904251417961
187	-10.980861748874517
188	-10.83427106217473
189	-10.48
190	-10.789768493705942
