E	V
1	6.726925339944442
2	7.761333105490993
3	8.400695045447689
4	8.4386370916395
5	9.32112185958538
6	9.729656751515016
7	10.10548064294592
8	11.47332669333701
9	12.201426344039202
10	14.223830814276951
11	16.97137674844772
12	19.362077589342626
13	23.97420277257669
14	31.82987024821835
15	39.60127165892981
16	47.105920731348064
17	54.092970055730866
18	59.21509439141154
19	63.71556091442803
20	68.01362244499853
21	70.74286083899413
22	73.97233774809234
23	76.64505867381234
24	79.67149504859822
25	81.94776809468294
26	84.53351291649255
27	87.06439921272744
28	89.33751581020421
29	91.41077325075388
30	93.23019051624031
31	95.06312645686717
32	96.63667931864273
33	98.18580273013262
34	99.54349596709002
35	100.81603875757128
36	101.93687955525033
37	102.99300812098488
38	103.98869292084926
39	104.92920622635407
40	105.78002584510074
41	106.5877960266744
42	107.33779960971881
43	108.03519855824217
44	108.68457914643398
45	109.27519071145142
46	109.8410748564105
47	110.3699198993302
48	110.86467567013176
49	111.32800100062124
50	111.76229820947414
51	112.16974280951119
52	112.55230919487454
53	112.91179293047813
54	113.24983015768515
55	113.56791454271719
56	113.86741212336796
57	114.14957435175488
58	114.41554958344076
59	114.66639322422691
60	114.90307671363797
61	115.12649549730526
62	115.33747611809326
63	115.53678253709523
64	115.72512177989358
65	115.903148990219
66	116.07147196192304
67	116.23065521065698
68	116.38122363854416
69	116.52366583821298
70	116.65843707663268
71	116.78596199410742
72	116.90663704940621
73	117.0208327382282
74	117.12889560893531
75	117.231150096651
76	117.327900194362
77	117.41943097751624
78	117.50600999673938
79	117.58788855165616
80	117.66530285736962
81	117.73847511389295
82	117.80761448772236
83	117.8729180137639
84	117.93457142496744
85	117.9927499162597
86	118.04761884869518
87	118.09933439914587
88	118.14804416032058
89	118.19388769543184
90	118.23699705140865
91	118.27749723417709
92	118.31550664919624
93	118.35113751013641
94	118.3844962183185
95	118.41568371529118
96	118.4447958107076
97	118.47192348746722
98	118.49715318591394
99	118.5205670687233
100	118.54224326796941
101	118.56225611573278
102	118.58067635949436
103	118.5975713634553
104	118.6130052968267
105	118.62703931004629
106	118.63973169980102
107	118.65113806366233
108	118.66131144507617
109	118.67030246939021
110	118.67815947154688
111	118.68492861602131
112	118.6906540095384
113	118.69537780706212
114	118.69914031151194
115	118.70198006762782
116	118.7039339503724
117	118.70503724823122
