E	V
1	0.713074660055558
2	-0.04133310549099356
3	-0.04069504544768954
4	0.06636290836050218
5	-0.15712185958538072
6	-0.14299008484834985
7	-0.271194928660206
8	-0.71082669333701
9	-0.7503152329280907
10	-1.5338308142769517
11	-2.425922202993177
12	-3.1554109226759586
13	-5.218818157192075
14	-8.002727391075494
15	-9.718604992263145
16	-10.694670731348062
17	-10.823558291024987
18	-10.44176105807821
19	-9.756613546006982
20	-8.802622444998526
21	-7.907622743756036
22	-6.863246839001427
23	-5.697232586855826
24	-4.373161715264878
25	-3.260568094682938
26	-1.8519744549540889
27	-0.3925473608755823
28	1.021055618367214
29	2.4554336457978536
30	3.772476150426357
31	5.207196123777997
32	6.517070681357261
33	7.9026821183522316
34	9.22238638585116
35	10.500532671000137
36	11.696453778083018
37	12.892937824961074
38	14.059728131782322
39	15.220537363389532
40	16.323974154899254
41	17.416106412349997
42	18.47553372361451
43	19.503406092920613
44	20.50087539902058
45	21.441253732993026
46	22.381533839241676
47	23.294760951733622
48	24.1819909965349
49	25.044243897337935
50	25.882501790525865
51	26.697708170880972
52	27.490767728202364
53	28.26254669216337
54	29.013873546018544
55	29.745540002737343
56	30.458302162346342
57	31.15288178859599
58	31.829967657938532
59	32.49021694526462
60	33.13425661969535
61	33.76268483056359
62	34.37607226900352
63	34.9749634946508
64	35.559878220106405
65	36.13131254824253
66	36.68974015928907
67	37.23561344605943
68	37.76936459674996
69	38.291406625555126
70	38.80213435193875
71	39.301925329836244
72	39.79114072837157
73	40.27012616588141
74	40.73921249917281
75	41.19871657001566
76	41.64894191090116
77	42.09017941209416
78	42.52270795197856
79	42.946794992647625
80	43.362697142630374
81	43.77066068857618
82	44.17092209764348
83	44.56370849226019
84	44.94923809884209
85	45.32772067197559
86	45.69935789549087
87	46.064343761773664
88	46.4228649305885
89	46.775101068613104
90	47.12122517081357
91	47.461403864724005
92	47.79579769862986
93	48.124561414594766
94	48.44784420721342
95	48.76578996891934
96	49.07853752262573
97	49.38622084242967
98	49.68896926306566
99	49.986907678751464
100	50.280156732030584
101	50.568832993178106
102	50.85304913070173
103	51.132914073437895
104	51.408533164711756
105	51.68000830900132
106	51.94743811151974
107	52.21091801110402
108	52.470540406775676
109	52.7263947783162
110	52.97856780118038
111	53.22714345605077
112	53.47220313331874
113	53.713825732760895
114	53.9520877586635
115	54.18706341063306
116	54.41882467031726
117	54.647441384247415
118	54.87298134300157
119	55.09551035687582
120	55.3150923282408
121	55.53178932075045
122	55.745661625560345
123	55.95676782470447
124	56.16516485177074
125	56.370908050008005
126	56.57405122798973
127	56.774646712952894
128	56.972745401924264
129	57.16839681073944
130	57.361649121055734
131	57.55254922545295
132	57.7411427707124
133	57.927474199359
134	58.11158678954706
135	58.293522693366214
136	58.47332297363974
137	58.65102763928411
138	58.826675679294695
139	59.00030509541973
140	59.17195293358068
141	59.34165531409526
142	59.50944746075571
143	59.675363728812485
144	59.83943763191144
145	60.00170186802954
146	60.16218834445261
147	60.3209282018359
148	60.4779518373867
149	60.63328892720612
150	60.78696844782558
151	60.9390186969714
152	61.089467313589935
153	61.238341297163785
154	61.38566702634792
155	61.53147027695407
156	61.67577623930937
157	61.81860953501496
158	61.95999423312828
159	62.09995386579244
160	62.238511443334424
161	62.375689468853174
162	62.51150995231768
163	62.64599442419403
164	62.77916394862003
165	62.91103913614445
166	63.04164015604822
167	63.17098674826286
168	63.299098234902075
169	63.42599353142079
170	63.551691157415675
171	63.67620924708076
172	63.799565559330716
173	63.921777487604274
174	64.04286206935944
175	64.16283599527209
176	64.2817156181481
177	64.39951696156028
178	64.51625572821918
179	64.63194730808794
180	64.74660678624993
181	64.86024895053814
182	64.9728882989347
183	65.08453904674857
184	65.19521513357918
185	65.30493023007344
186	65.41369774448333
187	65.52153082903082
188	65.62844238608697
189	65.73444507417103
190	65.83955131377644
191	65.94377329302868
192	66.04712297318137
193	66.14961209395557
194	66.25125217872755
195	66.35205453957047
196	66.45203028215401
197	66.55119031050737
198	66.64954533164958
199	66.74710586009178
200	66.84388222221531
201	66.93988456052983
202	67.03512283781517
203	67.12960684115072
204	67.22334618583582
205	67.31635031920476
206	67.4086285243394
207	67.50018992368308
208	67.59104348255832
209	67.68119801259179
210	67.77066217504918
211	67.85944448408273
212	67.94755330989416
213	68.03499688181554
214	68.12178329131058
215	68.20792049489883
216	68.29341631700494
217	68.37827845273536
218	68.46251447058462
219	68.54613181507321
220	68.62913780931915
221	68.71153965754515
222	68.79334444752327
223	68.87455915295902
224	68.95519063581628
225	69.03524564858527
226	69.11473083649477
227	69.19365273967048
228	69.2720177952408
229	69.34983233939187
230	69.4271026093729
231	69.50383474545343
232	69.58003479283398
233	69.65570870351105
234	69.73086233809799
235	69.805501467603
236	69.87963177516514
237	69.95325885775
238	70.02638822780555
239	70.09902531487975
240	70.1711754672007
241	70.24284395322036
242	70.3140359631229
243	70.3847566102987
244	70.45501093278457
245	70.5248038946715
246	70.59414038748073
247	70.6630252315086
248	70.73146317714145
249	70.79945890614124
250	70.86701703290254
251	70.93414210568153
252	71.00083860779826
253	71.0671109588121
254	71.13296351567178
255	71.19840057384022
256	71.26342636839492
257	71.3280450751046
258	71.39226081148261
259	71.45607763781774
260	71.51949955818294
261	71.5825305214226
262	71.64517442211879
263	71.70743510153716
264	71.76931634855285
265	71.83082190055688
266	71.89195544434385
267	71.95272061698068
268	72.01312100665783
269	72.07316015352244
270	72.13284155049469
271	72.19216864406704
272	72.25114483508739
273	72.30977347952609
274	72.3680578892274
275	72.42600133264582
