E	V
1	-4.648171547131681
2	-5.298333796039274
3	-4.69821485477562
4	-4.108075033251939
5	-4.723820929585791
6	-4.9510004003203205
7	-4.39444872453601
8	-5.646765936372653
9	-4.231404096449028
10	-5.3393989564553745
11	-3.5453730134573407
12	-5.525227291513248
13	-4.52786404500042
14	-1.278320395083509
15	-4.63007537736028
16	-4.0334666688000675
17	-4.892654992519837
18	-5.8287684822792025
19	-6.1068287800538705
20	-3.0273151202154764
21	-5.8
22	-5.177217009238292
23	-4.274252232334442
24	-4.8050031289123645
25	-6.2
26	-3.6496888006989625
27	-3.6935914986704823
28	-2.6130921216658756
29	-3.9160318942540453
30	-4.108826803044201
31	-5.353962606680421
32	-9.182157070095872
33	-13.429841320011803
34	-8.03483536969486
35	-18.34567859913578
36	-19.0
37	-24.239367628448
38	-17.315712027197595
39	-23.25649938913852
40	-12.171886645121305
41	-15.439665277826304
42	-12.07539474777725
43	-16.396364837673193
44	-14.571998603352126
45	-12.397333807238923
46	-16.07290587949629
47	-13.450263165184833
48	-17.86980566038302
49	-14.475119050318664
50	-14.245934077146197
51	-12.806674090580847
52	-12.98103798995829
53	-13.328220211291864
54	-12.286447127433997
55	-10.551000400320321
56	-11.855969349108946
57	-12.225403330758517
58	-10.693774225170145
59	-9.642582437899328
60	-10.0
61	-9.512565791296208
62	-9.31937515251343
63	-9.4
64	-9.4
65	-9.200000000000001
66	-9.269337613708192
67	-9.084450557859649
68	-9.829179606750063
69	-9.367544467966324
70	-9.73667504192892
71	-9.367544467966324
72	-9.483484861008833
73	-9.269337613708192
74	-9.200000000000001
75	-9.225403330758517
76	-8.586725404957845
77	-9.033809621030938
78	-8.29584054212077
79	-9.220204102886727
80	-9.45166852264521
81	-8.904554884989668
82	-9.069337613708193
83	-8.47530492340404
84	-8.829179606750063
85	-8.87335008385784
86	-8.93667504192892
87	-8.6
88	-8.87934443842663
89	-8.799999999999999
90	-9.659687576256715
91	-9.105572809000083
92	-8.663770850426278
93	-9.200000000000001
94	-9.069337613708193
95	-9.122967038573098
96	-8.380196097281443
97	-9.6
98	-8.799999999999999
99	-8.328220211291864
100	-8.633809621030942
101	-8.928220211291865
102	-8.29584054212077
103	-8.918975032409334
104	-8.918975032409334
105	-9.059687576256714
106	-8.57804555427071
107	-8.820204102886729
108	-9.200000000000001
109	-9.47530492340404
110	-8.29584054212077
111	-8.855969349108946
112	-9.059687576256714
113	-8.816784043380077
114	-9.841742430504416
115	-9.910102051443365
116	-9.829179606750063
